"Mês Ano";"Programa Orçamentário";"Ação Orçamentária";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"01/2025";"0905 - OPERACOES ESPECIAIS: SERVICO DA DIVIDA INTERNA (JUROS EAMORTIZACOES)";"0455 - SERVICOS DA DIVIDA PUBLICA FEDERAL INTERNA";"80.889.809.357,59";"67.992.403.379,51";"67.992.403.379,51";
"02/2025";"0905 - OPERACOES ESPECIAIS: SERVICO DA DIVIDA INTERNA (JUROS EAMORTIZACOES)";"0455 - SERVICOS DA DIVIDA PUBLICA FEDERAL INTERNA";"44.342.874.952,04";"21.066.808.065,48";"21.066.808.065,48";
"03/2025";"0905 - OPERACOES ESPECIAIS: SERVICO DA DIVIDA INTERNA (JUROS EAMORTIZACOES)";"0455 - SERVICOS DA DIVIDA PUBLICA FEDERAL INTERNA";"167.693.405.806,82";"30.406.765.703,51";"30.406.765.703,51";
